"Period","Forecast","Lo80","Hi80","Lo95","Hi95"
1,606411,539726,673095,504426,708396
2,573886,484291,663481,436862,710909
3,693820,582681,804959,523848,863792
4,791903,658710,925096,588202,995604
5,750966,600088,901844,520218,981714
6,632486,473178,791794,388846,876126
7,719027,552007,886047,463592,974462
8,840555,665961,1015149,573537,1107573
9,676216,497284,855148,402563,949869
10,656467,474153,838782,377641,935293
11,619133,433366,804900,335027,903239
12,531715,343646,719784,244088,819341
13,518971,328602,709340,227826,810115
14,482392,289778,675006,187814,776969
15,631822,437395,826249,334472,929172
16,730050,534221,925879,430555,1029545
17,685455,488342,882567,383997,986912
18,583622,385568,781676,280725,886519
